,word,tag
0,Áfram,
1,hélt,sfg3eþ
2,fjörið,nheng
3,í,af
4,síðari,lkeþvm
5,hálfleik,nkeþ
6,og,c
7,þegar,c
8, þriðji,lkenvf
9,leikhluti,nken
10,var,sfg3eþ
11,tæplega,aa
12,hálfnaður,lkensf
13,var,sfg3eþ
14,staðan,nveng
15, sextíu og fjögur,ta
16,,m
17, fimmtíu og tvö,ta
18,.,pl
19,Birna,nven-s
20,hélt,sfg3eþ
21,gulum,lkeþsf
22,við,af
23,efnið,nheog
24,og,c
25,Fjölnir,nken-s
26,leiddi,sfg3eþ
27, fimmtíu og átta,ta
28,,m
29, fjörutíu og átta,ta
30,fyrir,af
31,fjórða,lkeovf
32,og,c
33,síðasta,lkeove
34,leikhluta,nkeo
35,.,pl
36, tvö,ta
37,,m
38,núll,ta
39,Arnór,nken-s
40,Ingvi,nken-s
41,Traustason,nken-s
42, fimmtugasta og sjöunda,ta
43,mínúta,nven
44,.,pl
45,Lokatölur,nvfn
46,urðu,sfg3fþ
47, sjötíu,ta
48,,m
49, sextíu og átta,ta
50,Njarðvík,nveþ-s
51,í,af
52,vil,nheo
53,.,pl
54,Við,fp1fn
55,komum,sfg1fþ
56,til,af
57,leiks,nkee
58,til,af
59,að,cn
60,spila,sng
61,fótbolta,nkeo
62,en,c
63,Valsmenn,nkfn-s
64,komu,sfg3fþ
65,í,af
66,öðrum,fokeþ
67,tilgangi,nkeþ
68,og,c
69,léku,sfg3fþ
70,gríðarlega,aa
71,grófan,lkeosf
72,leik,nkeo
73,og,c
74,þegar,c
75,við,fp1fn
76,sáum,sfg1fþ
77,fram,aa
78,á,af
79,að,cn
80,þurfa,sng
81,að,cn
82,svara,sng
83,með,af
84,svipuðum,lkeþsf
85,leik,nkeþ
86,fengu,sfg3fþ
87,við,fp1fn
88,að,cn
89,kenna,sng
90,á,af
91,því,fpheþ
92,hjá,af
93,þeim,fakfþ
94,svartklæddu,lkfþvf
95,",",pk
96,“,pg
97,sagði,sfg3eþ
98,Keflvíkingurinn,nkengs
99,Guðmundur,nken-s
100,Steinarsson,nken-s
101,eftir,af
102,núll,ta
103,,m
104, fjögur,ta
105,tap,nheo
106,gegn,af
107,Valsmönnum,nkfþ-s
108,í,af
109,Pepsi-deildinni,nveþgs
110,í,af
111,knattspyrnu,nveþ
112,í,af
113,kvöld,nheo
114,.,pl
115,Grindavík,nven-s
116,sigraði,sfg3eþ
117,Njarðvík,nveo-s
118,í,af
119,úrslitaleiknum,nkeþg
120, sjötíu og sjö,ta
121,,m
122, sextíu og sex,ta
123,í,af
124,kaflaskiptum,lkeþsf
125,leik,nkeþ
126,.,pl
127,Njarðvík,nven-s
128,:,pa
129,Lele,n----s
130,Hardy,n----s
131, þrjátíu og fimm,ta
132,skástrik,pa
133, sextán,ta
134,fráköst,nhfn
135,",",pk
136,Svava,nven-s
137,Ósk,nven-s
138,Stefánsdóttir,nven-s
139, sjö <sil> sex,ta
140,fráköst,nhfn
141,",",pk
142,Ásdís,nven-s
143,Vala,nven-s
144,Freysdóttir,nven-s
145, sex,ta
146,",",pk
147,Sara,nven-s
148,Dögg,nven-s
149,Margeirsdóttir,nven-s
150, þrjú,ta
151,",",pk
152,Soffía,nven-s
153,Rún,nven-s
154,Skúladóttir,nven-s
155, tvö,ta
156,",",pk
157,Guðlaug,nven-s
158,Björt,nven-s
159,Júlíusdóttir,nven-s
160, tvö,ta
161,",",pk
162,Heiða,nven-s
163,B,ks
164,Valdimarsdóttir,nven-s
165, tvö,ta
166,",",pk
