,sentence_id,token_id,after_measure,next_tag,type
0,1,0,Áfram,sfg3eþ,
1,1,1,hélt,nheng,
2,1,2,fjörið,af,
3,1,3,í,lkeþvm,
4,1,4,síðari,nkeþ,
5,1,5,hálfleik,c,
6,1,6,og,c,
7,1,7,þegar,lkenvf,
8,1,8,3.,nken,ordinal
9,1,9,leikhluti,sfg3eþ,
10,1,10,var,aa,
11,1,11,tæplega,lkensf,
12,1,12,hálfnaður,sfg3eþ,
13,1,13,var,nveng,
14,1,14,staðan,ta,
15,1,15,64,m,
16,1,15,-,ta,
17,1,15,52,pl,
18,1,16,.,nven-s,
19,28,0,Birna,sfg3eþ,
20,28,1,hélt,lkeþsf,
21,28,2,gulum,af,
22,28,3,við,nheog,
23,28,4,efnið,c,
24,28,5,og,nken-s,
25,28,6,Fjölnir,sfg3eþ,
26,28,7,leiddi,ta,
27,28,8,58,m,
28,28,8,-,ta,
29,28,8,48,af,
30,28,9,fyrir,lkeovf,
31,28,10,fjórða,c,
32,28,11,og,lkeove,
33,28,12,síðasta,nkeo,
34,28,13,leikhluta,pl,
35,28,14,.,ta,
36,33,0,2,m,
37,33,0,-,ta,
38,33,0,0,nken-s,
39,33,1,Arnór,nken-s,
40,33,2,Ingvi,nken-s,
41,33,3,Traustason,ta,
42,33,4,57.,nven,ordinal
43,33,5,mínúta,pl,abbr
44,33,6,.,nvfn,
45,66,0,Lokatölur,sfg3fþ,
46,66,1,urðu,ta,
47,66,2,70,m,
48,66,2,-,ta,
49,66,2,68,nveþ-s,
50,66,3,Njarðvík,af,
51,66,4,í,nheo,
52,66,5,vil,pl,
53,66,6,.,fp1fn,
54,83,0,Við,sfg1fþ,
55,83,1,komum,af,
56,83,2,til,nkee,
57,83,3,leiks,af,
58,83,4,til,cn,
59,83,5,að,sng,
60,83,6,spila,nkeo,
61,83,7,fótbolta,c,
62,83,8,en,nkfn-s,
63,83,9,Valsmenn,sfg3fþ,
64,83,10,komu,af,
65,83,11,í,fokeþ,
66,83,12,öðrum,nkeþ,
67,83,13,tilgangi,c,
68,83,14,og,sfg3fþ,
69,83,15,léku,aa,
70,83,16,gríðarlega,lkeosf,
71,83,17,grófan,nkeo,
72,83,18,leik,c,
73,83,19,og,c,
74,83,20,þegar,fp1fn,
75,83,21,við,sfg1fþ,
76,83,22,sáum,aa,
77,83,23,fram,af,
78,83,24,á,cn,
79,83,25,að,sng,
80,83,26,þurfa,cn,
81,83,27,að,sng,
82,83,28,svara,af,
83,83,29,með,lkeþsf,
84,83,30,svipuðum,nkeþ,
85,83,31,leik,sfg3fþ,
86,83,32,fengu,fp1fn,
87,83,33,við,cn,
88,83,34,að,sng,
89,83,35,kenna,af,
90,83,36,á,fpheþ,
91,83,37,því,af,
92,83,38,hjá,fakfþ,
93,83,39,þeim,lkfþvf,
94,83,40,svartklæddu,pk,
95,83,41,",",pg,
96,83,42,“,sfg3eþ,
97,83,43,sagði,nkengs,
98,83,44,Keflvíkingurinn,nken-s,
99,83,45,Guðmundur,nken-s,
100,83,46,Steinarsson,af,
101,83,47,eftir,ta,
102,83,48,0,m,
103,83,48,-,ta,
104,83,48,4,nheo,
105,83,49,tap,af,
106,83,50,gegn,nkfþ-s,
107,83,51,Valsmönnum,af,
108,83,52,í,nveþgs,
109,83,53,Pepsi-deildinni,af,
110,83,54,í,nveþ,
111,83,55,knattspyrnu,af,
112,83,56,í,nheo,
113,83,57,kvöld,pl,
114,83,58,.,nven-s,
115,104,0,Grindavík,sfg3eþ,
116,104,1,sigraði,nveo-s,
117,104,2,Njarðvík,af,
118,104,3,í,nkeþg,
119,104,4,úrslitaleiknum,ta,
120,104,5,77,m,
